Protocolo,IP de Origem,IP de Destino,tamanho medio dos pacotes,tamanho minimo dos pacotes,tamanho maximo dos pacotes,soma do tamanho dos pacotes,duracao do fluxo,media do intervalo de tempo,intervalo minimo de tempo,intervalo maximo de tempo,taxa de media de bits por segundo
TCP,10.40.3.139,35.186.224.9,57.0,54,66,456,50.089217,7.155602428571428,0.016649000000001024,42.48173,72.83004643494428
TCP,10.40.3.139,35.186.224.24,56.4,54,66,564,75.25157,8.361285555555554,0.018602999999998815,55.027836,59.95888192100178
TCP,35.186.224.24,10.40.3.139,61.333333333333336,60,66,1104,75.326594,4.430976117647058,0.0,55.05335900000001,117.24942720760745
TCP,35.186.224.9,10.40.3.139,63.75,60,93,765,50.063295,4.551208636363636,0.0,42.498926,122.24524973835622
TCP,10.40.3.139,162.159.133.234,54.6,54,66,1092,72.79620700000001,3.831379315789474,0.011005000000011478,9.458738999999994,120.00625252356896
ICMPv6,fe80::ffff:ffff:fffe,ff02::2,103.0,103,103,309,55.017655000000005,27.508827500000002,25.663569,29.354086000000002,44.93103168428389
ICMPv6,fe80::8000:f227:d788:f855,fe80::ffff:ffff:fffe,151.0,151,151,453,54.882159,27.4410795,25.530057,29.352102,66.0323876835822
TCP,18.231.65.122,10.40.3.139,60.0,60,60,420,60.007276999999995,10.001212833333332,2.916846999999997,17.088757,55.993208956973675
TCP,10.40.3.139,18.231.65.122,54.0,54,54,486,70.004825,8.750603125,2.730836999999994,10.010403000000004,55.53902891693537
TCP,10.40.3.139,172.217.28.164,56.142857142857146,54,66,1572,3.096835,0.11469759259259259,2.9000000000056758e-05,2.526748,4060.920262138603
TCP,172.217.28.164,10.40.3.139,184.6086956521739,60,1466,4246,3.07787,0.13990318181818182,0.0,2.549428,11036.203608339534
TCP,10.40.3.139,142.251.128.174,57.0,54,66,684,71.283256,6.480296000000001,0.25897099999999984,15.360760000000006,76.76417025619594
TCP,142.251.128.174,10.40.3.139,64.1590909090909,60,93,2823,71.283253,1.6577500697674419,0.0,14.984641000000003,316.8205581190297
TCP,10.40.3.139,172.217.28.206,54.11764705882353,54,66,5520,47.899806999999996,0.4742555148514851,7.700000000010476e-05,43.18274,921.9243827015838
TCP,172.217.28.206,10.40.3.139,731.4761904761905,60,8526,61444,58.025158,0.6990982891566265,0.0,42.072424,8471.359957348157
TCP,10.40.3.139,34.120.208.123,58.0,54,66,348,59.326586,11.8653172,0.01673100000000005,58.957159,46.92668477501807
TCP,34.120.208.123,10.40.3.139,249.72727272727272,60,1466,2747,59.257395,5.9257395,0.0,58.885225,370.85666691895585
TCP,10.40.3.139,142.251.132.246,54.27272727272727,54,66,2388,68.309614,1.5885956744186045,0.00024900000000016576,58.235015999999995,279.66780781399234
TCP,10.40.3.139,23.42.196.39,58.8,54,66,294,0.025487000000000037,0.006371750000000009,0.0001299999999995194,0.019000000000000128,92282.34001647885
TCP,23.42.196.39,10.40.3.139,7132.2,60,30714,35661,0.008375000000000021,0.0020937500000000053,0.0,0.005354999999999777,34064238.805970065
TCP,142.251.132.246,10.40.3.139,60.92307692307692,60,66,792,68.242451,5.686870916666667,0.0,58.168411,92.84543428840209
ICMP,10.40.3.139,200.134.21.24,200.66666666666666,182,211,602,4.162434,2.081217,1.9415389999999997,2.2208950000000005,1157.01534246549
ICMP,10.40.3.139,10.40.0.2,204.0,165,243,408,2.4603019999999995,2.4603019999999995,2.4603019999999995,2.4603019999999995,1326.666401116611
TCP,10.40.3.139,3.33.252.61,393.5,54,733,787,0.2469859999999997,0.2469859999999997,0.2469859999999997,0.2469859999999997,25491.32339484832
TCP,3.33.252.61,10.40.3.139,79.5,60,99,159,0.17813299999999987,0.17813299999999987,0.17813299999999987,0.17813299999999987,7140.73192502232
TCP,10.40.3.139,209.85.165.200,57.42857142857143,54,66,1608,2.5288570000000004,0.09366137037037038,4.899999999974369e-05,0.9033500000000005,5086.883125459446
TCP,209.85.165.200,10.40.3.139,62.470588235294116,60,66,2124,2.5840429999999994,0.07830433333333331,0.0,0.8911559999999996,6575.741967142189
TCP,10.40.3.139,151.101.94.248,54.41379310344828,54,66,1578,0.9197420000000003,0.03284792857142858,4.7000000000352316e-05,0.7958610000000004,13725.588262795432
TCP,151.101.94.248,10.40.3.139,4424.7692307692305,60,13158,57522,0.8936829999999993,0.07447358333333327,0.0,0.8126349999999993,514920.8388209246
TCP,10.40.3.139,172.217.30.5,58.8,54,66,294,59.408205,14.85205125,0.024358999999999575,58.923619,39.59049090946276
TCP,172.217.30.5,10.40.3.139,64.38461538461539,60,93,837,59.32667500000001,4.943889583333333,0.0,58.849045000000004,112.86659837248588
TCP,10.40.3.139,172.217.28.35,60.0,54,66,240,0.019359999999999822,0.006453333333333274,0.000300000000000189,0.01855799999999963,99173.55371900917
TCP,172.217.28.35,10.40.3.139,66.0,66,66,132,0.0005290000000002237,0.0005290000000002237,0.0005290000000002237,0.0005290000000002237,1996219.2816626718
TCP,10.40.3.139,172.217.29.195,54.52173913043478,54,66,1254,64.694458,2.9406571818181817,0.0007020000000004245,58.314384999999994,155.06737841439215
TCP,172.217.29.195,10.40.3.139,61.333333333333336,60,66,552,64.633289,8.079161125,0.0,58.249161,68.3239251525634
TCP,10.40.3.139,142.250.219.225,54.857142857142854,54,66,768,14.141064000000002,1.087774153846154,0.0009340000000008786,8.109953,434.4793291367608
TCP,142.250.219.225,10.40.3.139,61.0,60,66,732,14.143528000000002,1.2857752727272729,0.0,8.146829,414.0409662992147
TCP,10.40.3.139,2.16.197.71,54.0,54,54,54,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,20.189.173.11,56.0,54,66,336,0.9693630000000013,0.19387260000000026,0.02783699999999989,0.34906700000000157,2772.9550230409004
TCP,20.189.173.11,10.40.3.139,788.0,60,1514,4728,0.61646,0.123292,0.0,0.3980460000000008,61356.77902864744
TCP,104.18.0.181,10.40.3.139,60.0,60,60,240,60.019008,20.006335999999997,9.845437000000004,30.010195,31.98986561057457
TCP,10.40.3.139,142.250.219.234,54.0,54,54,216,40.624836,13.541612,2.772278,20.487235,42.53555632815355
TCP,10.40.3.139,142.251.132.234,54.0,54,54,324,41.715587,8.3431174,0.20787399999999678,20.442809000000004,62.135047985780474
TCP,142.251.129.3,10.40.3.139,60.0,60,60,360,43.140001000000005,8.6280002,0.07184299999999766,30.590456,66.75938649143748
TCP,10.40.3.139,142.251.129.3,54.0,54,54,270,43.067139,10.76678475,0.00055799999999806,30.657036,50.154248695275534
TCP,10.40.3.139,162.159.138.232,58.8,54,66,294,6.174140999999999,1.5435352499999997,0.01036099999999962,5.752492,380.9436810723954
TCP,162.159.138.232,10.40.3.139,65.16666666666667,60,85,391,6.163779000000002,1.2327558000000003,0.003294000000000352,5.769002,507.48088145275796
TCP,10.40.3.139,34.158.255.62,54.0,54,54,54,0.0,0.0,0.0,0.0,0.0
TCP,162.159.133.234,10.40.3.139,135.66666666666666,60,287,407,45.844964000000004,22.922482000000002,4.589720999999997,41.25524300000001,71.02197746299898
TCP,35.186.224.30,10.40.3.139,60.0,60,60,240,35.996197,11.998732333333335,5.702994,24.297852000000002,53.33896800264761
TCP,35.186.224.45,10.40.3.139,60.0,60,60,120,30.002734000000004,30.002734000000004,30.002734000000004,30.002734000000004,31.997083999078214
TCP,10.40.3.139,35.186.224.45,54.0,54,54,108,29.959437,29.959437,29.959437,29.959437,28.838993202709382
TCP,34.107.243.93,10.40.3.139,60.0,60,60,60,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,35.186.224.30,54.0,54,54,108,30.138965,30.138965,30.138965,30.138965,28.667208711380766
TCP,10.40.3.139,13.107.246.33,54.92307692307692,54,66,714,4.766116000000004,0.39717633333333363,0.0007220000000032201,4.642891999999996,1198.4601297996094
TCP,13.107.246.33,10.40.3.139,3133.6363636363635,60,7104,34470,4.738402000000001,0.47384020000000004,0.001424999999997567,4.6606179999999995,58196.83513555835
TCP,10.40.3.139,104.18.41.158,54.0,54,54,54,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,172.217.29.142,57.42857142857143,54,66,402,16.589559,2.7649265,0.00013500000000021828,16.172254000000002,193.85687105968276
TCP,172.217.29.142,10.40.3.139,64.0909090909091,60,93,705,16.588681,1.6588681,0.0,16.191938,339.99086485537936
TCP,142.250.219.234,10.40.3.139,60.0,60,60,60,0.0,0.0,0.0,0.0,0.0
TCP,142.251.132.234,10.40.3.139,60.0,60,60,300,3.013344999999994,0.7533362499999985,0.007373999999998659,2.5983389999999957,796.4570933630251
TCP,104.18.32.47,10.40.3.139,60.0,60,60,60,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,104.18.32.47,54.0,54,54,54,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,172.217.192.84,54.0,54,54,108,0.06692600000000226,0.06692600000000226,0.06692600000000226,0.06692600000000226,12909.780952095909
TCP,172.217.192.84,10.40.3.139,60.0,60,60,120,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,172.217.28.138,54.0,54,54,108,0.01717299999999966,0.01717299999999966,0.01717299999999966,0.01717299999999966,50311.53554999226
TCP,172.217.28.138,10.40.3.139,60.0,60,60,120,0.0,0.0,0.0,0.0,0.0
TCP,10.40.3.139,189.125.184.239,55.411764705882355,54,66,4710,5.071649000000001,0.06037677380952382,1.699999999971169e-05,0.41020800000000435,7429.536231706886
TCP,189.125.184.239,10.40.3.139,4049.439024390244,66,29254,332054,4.844515999999999,0.05980883950617282,0.0,0.4103679999999983,548337.9557421218
TCP,10.40.3.139,172.217.28.131,58.0,54,66,174,0.08956299999999828,0.04478149999999914,0.016958999999999946,0.07260399999999834,15542.132353762454
TCP,172.217.28.131,10.40.3.139,63.0,60,66,126,0.017519999999997538,0.017519999999997538,0.017519999999997538,0.017519999999997538,57534.24657535055
TCP,10.40.3.139,142.251.132.202,54.75,54,66,876,0.5510659999999987,0.03673773333333325,0.000816000000000372,0.18488400000000382,12717.16999415681
TCP,142.251.132.202,10.40.3.139,60.8,60,66,912,0.5514650000000003,0.039390357142857164,0.0,0.11743699999999535,13230.214066169196
TCP,10.40.3.139,20.72.205.209,60.0,54,66,120,0.19422300000000092,0.19422300000000092,0.19422300000000092,0.19422300000000092,4942.771968304452
TCP,10.40.3.139,104.18.0.181,54.0,54,54,108,0.012921999999996103,0.012921999999996103,0.012921999999996103,0.012921999999996103,66862.71475005886
TCP,20.72.205.209,10.40.3.139,63.0,60,66,126,0.005047000000004687,0.005047000000004687,0.005047000000004687,0.005047000000004687,199722.60748941233
TCP,10.40.3.139,189.125.184.235,58.8,54,66,294,0.23297999999999774,0.058244999999999436,6.799999999884676e-05,0.22875299999999754,10095.28714911161
TCP,189.125.184.235,10.40.3.139,8919.75,66,19034,35679,0.004005000000006476,0.0013350000000021585,0.0,0.004005000000006476,71268913.85756268
